"","GAME_ID","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"332","ARI201604290",20160429,"COL",9,39,12,4,0,4,9,0,0,1,3,0,10,0,0,0,0,7,4,0,0,1,0,27,5,0,0,2,0
"347","ARI201604300",20160430,"COL",5,37,13,3,1,0,5,0,0,0,4,1,9,0,1,2,0,9,5,2,2,0,0,27,15,0,1,2,0
"361","ARI201605010",20160501,"COL",6,34,7,0,0,2,6,0,0,0,5,0,7,1,0,0,0,6,6,3,3,0,0,27,11,1,0,0,0
"510","ARI201605120",20160512,"SFN",4,33,8,1,0,1,4,1,0,0,3,0,8,0,0,1,0,6,5,2,2,1,0,27,11,0,0,1,0
"522","ARI201605130",20160513,"SFN",3,30,8,1,0,1,3,0,0,0,4,0,3,0,0,5,0,4,3,1,1,0,0,27,12,0,0,2,0
"537","ARI201605140",20160514,"SFN",5,37,12,1,1,1,5,0,0,1,3,0,6,0,0,2,0,9,5,3,3,0,0,27,11,1,0,0,0
"553","ARI201605150",20160515,"SFN",2,30,4,0,0,1,2,0,0,0,5,1,8,0,0,1,0,6,4,1,1,1,0,27,13,1,0,4,0
"564","ARI201605160",20160516,"NYA",2,34,8,1,1,0,1,0,0,0,1,1,10,0,0,1,0,6,4,9,8,0,0,24,13,2,0,1,0
"575","ARI201605170",20160517,"NYA",3,33,6,0,0,1,3,0,0,0,1,0,10,0,0,0,0,4,3,5,5,0,0,24,7,2,1,0,0
"591","ARI201605180",20160518,"NYA",4,36,11,2,0,1,3,1,0,0,4,1,10,0,0,0,0,10,4,2,2,0,0,27,12,0,0,0,0
"711","ARI201605270",20160527,"SDN",10,43,18,3,0,4,10,0,0,0,5,0,11,0,0,1,0,11,3,3,3,0,0,27,8,1,0,0,0
"726","ARI201605280",20160528,"SDN",7,34,10,4,0,1,6,0,1,0,1,0,4,0,0,2,0,2,5,8,8,1,0,24,12,1,0,1,0
"741","ARI201605290",20160529,"SDN",3,32,5,2,0,1,3,0,0,1,1,0,11,0,0,0,0,4,3,6,6,2,0,24,7,0,0,1,0
"755","ARI201605300",20160530,"HOU",8,36,13,2,1,0,7,2,0,3,3,0,3,0,0,2,0,9,1,3,3,0,0,27,12,0,0,0,0
"770","ARI201605310",20160531,"HOU",8,35,12,2,0,2,8,0,0,1,6,0,6,1,0,3,0,7,4,4,4,2,0,27,12,1,0,1,0
"854","ARI201606060",20160606,"TBA",6,35,10,2,0,2,6,0,1,0,7,1,13,0,1,0,0,10,5,4,4,0,0,27,8,0,1,0,0
"865","ARI201606070",20160607,"TBA",0,29,3,0,0,0,0,0,0,0,2,0,2,0,0,1,0,4,3,5,5,0,0,24,9,0,0,2,0
"881","ARI201606080",20160608,"TBA",6,36,10,0,1,3,6,0,0,0,5,0,7,0,0,0,0,8,4,3,3,0,0,27,10,0,0,2,0
