"","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"94",20130408,"HOU",0,33,7,0,0,0,0,0,0,0,1,0,8,0,0,1,0,7,3,3,3,1,0,24,9,1,0,1,0
"95",20130408,"TBA",4,34,7,0,0,0,3,0,0,0,5,0,5,1,0,0,0,8,5,5,5,0,0,24,11,1,0,2,0
"96",20130408,"PIT",5,30,5,1,1,1,5,0,1,1,6,0,12,1,0,1,0,6,5,2,1,1,0,27,15,1,0,1,0
"97",20130408,"MIL",7,37,12,6,0,0,7,0,1,0,8,3,10,0,0,1,0,12,4,4,4,0,0,27,6,1,0,0,0
"98",20130408,"ATL",2,36,10,1,0,1,2,1,0,0,0,0,6,0,0,0,0,8,3,0,0,0,0,27,14,1,0,1,0
"99",20130408,"NYN",7,36,9,4,0,1,7,0,0,1,5,0,9,0,0,0,0,8,2,2,2,0,0,27,7,1,0,1,0
"100",20130408,"COL",2,30,6,1,0,1,2,1,0,0,5,1,11,1,1,1,0,7,3,4,4,0,0,24,7,0,0,1,0
"101",20130408,"CIN",13,42,14,4,0,1,13,0,0,1,8,2,12,0,0,0,0,11,4,1,1,1,0,27,8,2,0,1,0
"102",20130409,"OAK",9,38,12,0,0,3,9,0,0,0,4,0,8,1,0,1,0,6,7,3,3,1,0,27,11,2,0,2,0
"103",20130409,"NYA",14,45,18,6,0,5,14,0,0,1,2,0,6,0,0,2,0,7,2,1,1,0,0,27,12,0,0,1,0
"104",20130409,"TOR",3,35,8,1,1,1,3,0,0,0,1,0,9,1,0,0,0,6,5,6,6,0,0,24,8,1,0,0,0
"105",20130409,"MIN",4,35,8,1,0,3,4,0,0,0,3,0,4,0,0,1,0,7,3,7,7,0,0,24,10,0,0,1,0
"106",20130409,"HOU",16,47,22,3,0,5,15,0,0,0,6,0,10,1,0,2,0,10,3,6,6,0,0,27,7,1,0,0,0
"107",20130409,"TBA",1,30,4,2,0,0,1,0,0,0,3,0,5,0,0,1,0,5,3,5,5,1,0,24,12,1,0,0,0
"108",20130409,"PIT",6,37,11,3,0,0,6,1,0,0,2,0,8,2,0,1,0,7,5,5,5,0,0,27,11,0,0,2,0
"109",20130409,"MIL",3,37,9,2,1,0,2,0,0,0,3,0,8,2,0,1,0,10,4,5,5,1,0,24,12,1,0,0,0
"110",20130409,"ATL",3,35,8,3,0,1,3,0,0,0,1,0,9,0,0,0,0,6,3,1,1,0,0,27,16,1,0,2,0
"111",20130409,"NYN",3,35,8,1,1,1,2,0,0,0,0,0,7,0,0,1,0,5,5,8,8,0,0,24,8,2,0,0,0
"112",20130409,"LAN",3,33,10,1,0,1,3,1,0,0,5,0,8,0,0,3,0,9,6,9,9,0,0,24,8,0,1,0,0
"113",20130409,"COL",6,31,4,1,0,1,6,1,0,0,5,0,11,2,0,0,0,4,4,9,9,1,0,24,11,0,0,1,0
